date,sejrik,mencik2,Mates511,ominar
2016-10-17,4,3,0,0
2016-10-18,4,3,0,0
2016-10-19,4,3,0,0
2016-10-20,4,4,0,0
2016-10-21,4,4,0,0
2016-10-22,4,4,0,0
2016-10-23,4,4,0,0
2016-10-24,5,5,0,0
2016-10-25,5,5,0,0
2016-10-26,5,5,0,0
2016-10-27,5,5,0,0
2016-10-28,5,5,0,0
2016-10-29,5,5,0,0
2016-10-30,5,5,0,0
2016-10-31,6,6,0,0
2016-11-01,6,6,0,0
2016-11-02,6,6,0,0
2016-11-03,6,6,0,0
2016-11-04,6,6,0,0
2016-11-05,6,6,0,0
2016-11-06,6,6,0,0
2016-11-07,7,10,0,0
2016-11-08,7,10,0,0
2016-11-09,7,10,0,0
2016-11-10,7,10,0,0
2016-11-11,7,10,0,0
2016-11-12,7,10,0,0
2016-11-13,7,10,0,0
2016-11-14,11,14,0,0
2016-11-15,11,14,0,0
2016-11-16,11,14,0,0
2016-11-17,11,14,0,0
2016-11-18,11,14,0,0
2016-11-19,11,14,0,0
2016-11-20,11,14,0,0
2016-11-21,12,16,0,0
2016-11-22,12,16,0,0
2016-11-23,12,16,0,0
2016-11-24,13,17,0,0
2016-11-25,13,17,0,0
2016-11-26,13,17,0,0
2016-11-27,13,17,0,0
2016-11-28,13,17,0,0
2016-11-29,13,17,0,0
2016-11-30,13,17,0,0
2016-12-01,13,20,0,0
2016-12-02,13,20,0,0
2016-12-03,13,20,0,0
2016-12-04,13,20,0,0
2016-12-05,15,21,0,0
2016-12-06,15,21,0,0
2016-12-07,15,21,0,0
2016-12-08,15,21,0,0
2016-12-09,15,21,0,0
2016-12-10,15,21,0,0
2016-12-11,15,21,0,0
2016-12-12,19,23,0,0
2016-12-13,19,23,0,0
2016-12-14,19,23,0,0
2016-12-15,19,23,0,0
2016-12-16,20,24,0,0
2016-12-17,20,24,0,0
2016-12-18,20,24,0,0
2016-12-19,22,25,0,0
2016-12-20,22,25,0,0
2016-12-21,22,25,0,0
2016-12-22,22,25,0,0
2016-12-23,22,25,0,0
2016-12-24,22,25,0,0
2016-12-25,22,25,0,0
2016-12-26,22,25,0,0
2016-12-27,22,25,0,0
2016-12-28,22,25,0,0
2016-12-29,24,26,0,0
2016-12-30,24,26,0,0
2016-12-31,24,26,0,0
2017-01-01,24,26,0,0
2017-01-02,24,26,0,0
2017-01-03,25,26,0,0
2017-01-04,25,26,0,0
2017-01-05,25,26,0,0
2017-01-06,26,27,0,0
2017-01-07,26,27,0,0
2017-01-08,26,27,0,0
2017-01-09,28,28,0,0
2017-01-10,28,28,0,0
2017-01-11,28,28,0,0
2017-01-12,28,28,0,0
2017-01-13,29,29,0,0
2017-01-14,29,29,0,0
2017-01-15,29,29,0,0
2017-01-16,31,31,0,0
2017-01-17,31,31,0,0
2017-01-18,31,31,0,0
2017-01-19,31,31,0,0
2017-01-20,31,31,0,0
2017-01-21,31,31,0,0
2017-01-22,31,31,0,0
2017-01-23,32,32,0,0
2017-01-24,32,32,0,0
2017-01-25,32,32,0,0
2017-01-26,32,32,0,0
2017-01-27,32,32,0,0
2017-01-28,32,32,0,0
2017-01-29,32,32,0,0
2017-01-30,33,35,0,0
2017-01-31,33,35,0,0
2017-02-01,33,35,0,0
2017-02-02,33,35,0,0
2017-02-03,33,35,0,0
